City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Santa Isabel Do Rio Negro,BR,78.01,broken clouds,-0.4139,-65.0192,Hotel GSA
11,Ghatanji,IN,74.08,few clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
14,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Kumo,NG,74.52,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
24,Bambous Virieux,MU,77.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
27,Busselton,AU,76.05,overcast clouds,-33.65,115.3333,Observatory Guest House
30,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
31,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
34,Bakreswar,IN,78.93,scattered clouds,23.8833,87.3667,Bakreswar Youth Hostel
36,Coro,VE,79.03,few clouds,11.4045,-69.6734,Federal
46,Bubaque,GW,82.44,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
47,Sao Filipe,CV,78.53,clear sky,14.8961,-24.4956,Hotel Xaguate
51,Souillac,MU,77.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Victoria,HK,76.03,clear sky,22.2855,114.1577,Mini Hotel Central
55,Trairi,BR,79.57,few clouds,-3.2778,-39.2689,janelas do mar
59,Mumbwa,ZM,71.76,overcast clouds,-14.9783,27.0619,Mumbwa Motel
62,Sur,OM,81.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
64,Guanica,PR,80.02,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
73,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
75,Maroantsetra,MG,74.61,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
77,Yarada,IN,82.72,mist,17.65,83.2667,Vishranti
78,Adeje,ES,70.93,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
85,Kalmunai,LK,81.97,broken clouds,7.4167,81.8167,VS Villa
89,Calabozo,VE,80.98,overcast clouds,8.9242,-67.4293,Hotel Giardini
91,Lethem,GY,79.84,overcast clouds,3.3803,-59.7968,Savannah Inn
92,Kulhudhuffushi,MV,81.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
93,Locri,IT,72.55,overcast clouds,38.2414,16.2623,Grand Hotel President
95,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
97,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
109,Arraial Do Cabo,BR,70.92,few clouds,-22.9661,-42.0278,Pousada Porto Praia
110,Aquiraz,BR,81.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
114,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
115,Muisne,EC,76.12,overcast clouds,0.6,-80.0333,Quinta Samay
119,Areia Branca,BR,79.34,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
123,Mutuipe,BR,71.04,overcast clouds,-13.2286,-39.5047,Hotel Portal do Vale
