City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Lodwar,KE,3.1191,35.5973,84.25,42,15,10.4,few clouds
1,Port Alfred,ZA,-33.5906,26.891,60.4,63,2,18.81,clear sky
2,Dikson,RU,73.5069,80.5464,8.06,87,99,11.9,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,33.46,93,75,18.41,snow
4,San Vicente De Canete,PE,-13.0751,-76.3835,65.28,77,19,8.05,few clouds
5,Natal,BR,-5.795,-35.2094,81.25,78,20,17.27,few clouds
6,Busselton,AU,-33.65,115.3333,50.09,77,92,4.7,overcast clouds
7,Qaanaaq,GL,77.484,-69.3632,-1.44,58,0,8.63,clear sky
8,Bouar,CF,5.934,15.596,64.13,94,9,3.71,clear sky
9,Thompson,CA,55.7435,-97.8558,37.33,73,100,3.15,overcast clouds
10,Cidreira,BR,-30.1811,-50.2056,65.32,94,100,8.12,overcast clouds
11,Lagoa,PT,39.05,-27.9833,66.43,62,17,13.56,few clouds
12,Bredasdorp,ZA,-34.5322,20.0403,51.28,71,45,3.13,scattered clouds
13,Tukrah,LY,32.5341,20.5791,76.21,41,41,11.1,scattered clouds
14,Ajdabiya,LY,30.7554,20.2263,74.75,35,78,16.15,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,56.89,71,14,2.55,few clouds
16,Salalah,OM,17.0151,54.0924,75.29,57,0,5.75,clear sky
17,Mehamn,NO,71.0357,27.8492,34.92,61,100,19.62,light rain
18,Arraial Do Cabo,BR,-22.9661,-42.0278,71.8,85,0,31.0,clear sky
19,Beloha,MG,-25.1667,45.05,69.24,89,1,2.35,clear sky
20,Buchanan,LR,5.8808,-10.0467,77.23,90,100,4.5,moderate rain
21,Marsa Matruh,EG,31.3525,27.2453,69.17,72,0,6.78,clear sky
22,Cape Town,ZA,-33.9258,18.4232,58.26,71,20,4.72,few clouds
23,Camana,PE,-16.6228,-72.7111,63.23,79,55,11.23,broken clouds
24,Tasiilaq,GL,65.6145,-37.6368,32.16,87,100,5.39,light snow
25,Tabou,CI,4.423,-7.3528,76.64,89,57,6.89,light rain
26,Chuy,UY,-33.6971,-53.4616,59.63,76,100,4.14,overcast clouds
27,Klaksvik,FO,62.2266,-6.589,49.12,86,66,16.6,broken clouds
28,Sistranda,NO,63.7256,8.834,43.9,71,100,11.74,overcast clouds
29,Hearst,CA,49.6835,-83.6665,34.65,97,100,7.27,light rain
30,Felanitx,ES,39.4696,3.1483,60.96,69,9,7.25,clear sky
31,Khandbari,NP,27.3747,87.2039,63.5,86,79,2.71,broken clouds
32,Mahebourg,MU,-20.4081,57.7,74.25,75,66,11.43,broken clouds
33,Adrar,MR,20.5022,-10.0711,80.46,18,1,5.1,clear sky
34,Izhma,RU,65.0083,53.9113,23.94,95,10,5.61,clear sky
35,Arroio Grande,BR,-32.2375,-53.0869,57.78,96,100,4.12,overcast clouds
36,Umm Kaddadah,SD,13.6017,26.6876,86.43,19,34,16.26,scattered clouds
37,Moyale,KE,3.5167,39.0584,71.69,61,25,4.41,scattered clouds
38,Laguna,US,38.421,-121.4238,67.46,63,90,1.01,overcast clouds
39,Harlingen,US,26.1906,-97.6961,90.34,48,1,14.97,clear sky
40,Boende,CD,-0.2167,20.8667,72.55,90,87,2.57,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,70.43,65,32,7.63,scattered clouds
42,Cordoba,AR,-31.4135,-64.1811,73.24,40,0,9.22,clear sky
43,Barcelos,PT,41.5388,-8.6151,57.92,80,36,2.48,scattered clouds
44,Souillac,MU,-20.5167,57.5167,74.35,75,38,9.08,scattered clouds
45,Ribeira Grande,PT,38.5167,-28.7,67.32,68,21,13.13,few clouds
46,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
47,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,18.41,few clouds
48,Oytal,KZ,42.9057,73.2697,43.48,51,1,5.53,clear sky
49,Savannah Bight,HN,16.45,-85.85,88.0,76,60,19.98,broken clouds
50,Abnub,EG,27.2696,31.1511,70.41,47,1,10.31,clear sky
51,Jamestown,US,42.097,-79.2353,46.29,97,90,1.99,overcast clouds
52,Guatire,VE,10.4762,-66.5427,82.9,96,83,3.83,broken clouds
53,Iturama,BR,-19.7281,-50.1956,85.42,43,68,7.0,broken clouds
54,Sisimiut,GL,66.9395,-53.6735,24.13,94,100,11.03,snow
55,Saint-Augustin,CA,51.226,-58.6502,40.26,89,100,16.4,overcast clouds
56,Senneterre,CA,48.3835,-77.2328,33.03,88,89,4.03,overcast clouds
57,Cockburn Town,TC,21.4612,-71.1419,84.16,65,75,8.05,broken clouds
58,Miranda,CO,3.2499,-76.2281,70.34,94,95,2.13,overcast clouds
59,Hithadhoo,MV,-0.6,73.0833,82.47,73,70,11.95,broken clouds
60,Luderitz,NA,-26.6481,15.1594,57.04,76,0,18.1,clear sky
61,Brae,GB,60.3964,-1.353,53.51,88,100,24.65,overcast clouds
62,Luena,AO,-11.7833,19.9167,64.69,91,81,4.07,broken clouds
63,Portadown,GB,54.4241,-6.4412,54.21,90,100,21.27,light rain
64,Lebu,CL,-37.6167,-73.65,53.53,80,20,9.28,few clouds
65,Maxixe,MZ,-23.8597,35.3472,73.67,89,0,14.79,clear sky
66,Priiskovyy,RU,51.9333,116.6333,30.65,76,7,4.14,clear sky
67,Rio Gallegos,AR,-51.6226,-69.2181,43.79,48,68,35.39,broken clouds
68,Iracoubo,GF,5.4802,-53.2011,78.28,89,96,11.99,overcast clouds
69,Homa Bay,KE,-0.5273,34.4571,67.37,82,70,3.74,broken clouds
70,Oswego,US,43.4501,-76.1497,48.34,92,100,4.27,overcast clouds
71,Henties Bay,NA,-22.116,14.2845,58.86,91,0,8.66,clear sky
72,Carnarvon,AU,-24.8667,113.6333,62.67,88,0,6.91,clear sky
73,Clyde River,CA,70.4692,-68.5914,20.21,82,93,13.09,overcast clouds
74,Baracoa,CU,20.3467,-74.4958,80.8,83,55,3.8,broken clouds
75,Codrington,AU,-38.2667,141.9667,52.68,64,50,13.76,scattered clouds
76,Kaduqli,SD,11.0167,29.7167,85.39,39,99,3.18,overcast clouds
77,Puerto Madryn,AR,-42.7692,-65.0385,65.53,19,71,16.55,broken clouds
78,Ilulissat,GL,69.2167,-51.1,21.22,79,90,18.41,overcast clouds
79,Bam,IR,29.106,58.357,61.68,23,0,2.51,clear sky
80,Pangnirtung,CA,66.1451,-65.7125,24.64,91,98,4.59,overcast clouds
81,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.14,80,25,11.39,scattered clouds
82,Georgetown,MY,5.4112,100.3354,78.89,88,20,0.0,few clouds
83,Ancud,CL,-41.8697,-73.8203,52.43,65,7,11.03,clear sky
84,Cravo Norte,CO,6.3017,-70.2041,84.07,66,76,8.52,broken clouds
85,Upernavik,GL,72.7868,-56.1549,18.79,89,100,10.87,overcast clouds
86,Srisailam,IN,16.0833,78.8667,69.48,81,83,1.5,broken clouds
87,Jumla,NP,29.2747,82.1838,45.36,82,1,4.41,clear sky
88,Koslan,RU,63.4564,48.8989,24.15,97,28,2.73,scattered clouds
89,Nanortalik,GL,60.1432,-45.2371,35.87,69,34,5.79,scattered clouds
90,Yar-Sale,RU,66.8333,70.8333,29.07,94,100,10.98,overcast clouds
91,Trinidad,BO,-14.8333,-64.9,99.25,31,40,11.1,scattered clouds
92,Yerkoy,TR,39.6381,34.4672,54.16,25,1,1.1,clear sky
93,Mar Del Plata,AR,-38.0023,-57.5575,58.08,68,20,5.99,few clouds
94,Badnawar,IN,23.0167,75.2167,67.14,67,0,2.95,clear sky
95,Sakakah,SA,29.9697,40.2064,71.42,32,0,9.84,clear sky
96,Nara,JP,34.6851,135.8049,51.98,72,2,1.83,clear sky
97,Paamiut,GL,61.994,-49.6678,32.5,53,85,17.29,overcast clouds
98,Kariapatti,IN,9.6751,78.0999,77.83,87,77,2.17,broken clouds
99,Laon,FR,49.5667,3.6667,46.67,80,2,5.48,clear sky
100,Pontes E Lacerda,BR,-15.2261,-59.3353,91.27,41,42,7.45,scattered clouds
101,Meulaboh,ID,4.1363,96.1285,76.8,87,100,2.37,overcast clouds
102,Andenes,NO,69.3143,16.1194,31.98,86,40,5.75,light snow
103,La Arena,PE,-5.3466,-80.7109,78.58,52,91,17.16,overcast clouds
104,Gore,NZ,-46.1028,168.9436,53.94,89,100,1.52,overcast clouds
105,Abu Samrah,SY,35.3029,37.1841,65.14,61,0,7.25,clear sky
106,Saldanha,ZA,-33.0117,17.9442,58.69,74,18,7.56,few clouds
107,Road Town,VG,18.4167,-64.6167,83.19,74,20,8.05,few clouds
108,Itarema,BR,-2.9248,-39.9167,80.46,79,63,14.65,broken clouds
109,Longyearbyen,SJ,78.2186,15.6401,17.44,86,20,4.61,few clouds
110,East London,ZA,-33.0153,27.9116,61.38,64,62,19.69,broken clouds
111,Penha,BR,-26.7694,-48.6458,67.71,95,100,4.74,moderate rain
112,Saint-Philippe,RE,-21.3585,55.7679,74.75,82,65,11.7,broken clouds
113,Dudinka,RU,69.4058,86.1778,23.32,95,100,7.61,overcast clouds
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.72,83,7,18.59,clear sky
115,Porto Novo,BJ,6.4965,2.6036,75.6,89,100,3.58,overcast clouds
116,Lokoja,NG,7.8024,6.743,75.7,89,99,2.06,overcast clouds
117,Kibala,TD,9.1104,18.3463,73.47,86,98,3.47,overcast clouds
118,Caravelas,BR,-17.7125,-39.2481,74.21,83,32,6.35,scattered clouds
119,Arroyo,ES,41.6096,-4.7969,47.71,77,0,0.0,clear sky
120,Mogadishu,SO,2.0371,45.3438,78.93,84,4,7.72,clear sky
121,Tinyahuarco,PE,-10.75,-76.3,53.46,41,77,12.97,broken clouds
122,Punta Arenas,CL,-53.15,-70.9167,35.71,87,40,26.46,scattered clouds
123,Cherdyn,RU,60.403,56.4787,37.31,88,84,9.91,broken clouds
124,Cabedelo,BR,-6.9811,-34.8339,81.27,77,53,13.82,broken clouds
125,Itaquaquecetuba,BR,-23.4861,-46.3483,82.78,46,0,6.91,clear sky
126,Kuytun,RU,54.3419,101.5036,29.84,88,40,3.83,scattered clouds
127,Pilar,BR,-9.5972,-35.9567,80.53,83,42,11.14,scattered clouds
128,Namikupa,TZ,-10.8333,39.6,68.23,98,58,3.24,broken clouds
129,Gueret,FR,46.1667,1.8667,43.43,93,2,3.74,clear sky
130,Coihueco,CL,-36.6167,-71.8333,65.14,39,0,8.05,clear sky
131,Marawi,PH,7.9986,124.2928,66.65,90,94,3.27,overcast clouds
132,Hun,LY,29.1268,15.9477,80.28,21,75,10.65,broken clouds
133,Victoria,HK,22.2855,114.1577,69.33,80,98,5.01,overcast clouds
134,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,81.75,77,71,1.12,heavy intensity rain
135,Bani Walid,LY,31.7566,13.9942,77.49,36,100,10.65,overcast clouds
136,Sao Filipe,CV,14.8961,-24.4956,79.65,71,10,9.15,clear sky
137,Bom Jesus,BR,-9.0744,-44.3586,72.68,95,100,1.41,overcast clouds
138,Grand Baie,MU,-20.0182,57.5802,74.44,76,85,5.99,overcast clouds
139,Awbari,LY,26.5921,12.7805,81.39,16,66,14.14,broken clouds
140,Torbay,CA,47.6666,-52.7314,59.77,94,90,11.5,light rain
141,Port Elizabeth,ZA,-33.918,25.5701,59.14,62,8,14.43,clear sky
142,Moramanga,MG,-18.9333,48.2,63.34,98,22,1.68,few clouds
143,Coihaique,CL,-45.5752,-72.0662,48.15,49,75,9.22,broken clouds
144,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,20,4.61,few clouds
145,Artigas,UY,-30.4,-56.4667,58.98,93,82,8.34,broken clouds
146,Takoradi,GH,4.8845,-1.7554,77.88,85,99,6.38,light rain
147,Cavaillon,FR,43.8312,5.0359,51.94,76,0,0.0,clear sky
148,Sarcelles,FR,48.9881,2.3786,47.75,82,0,3.44,clear sky
149,Manakara,MG,-22.1333,48.0167,73.42,94,30,6.04,scattered clouds
150,Gat,IL,31.61,34.7642,70.81,100,0,4.25,clear sky
151,Huarmey,PE,-10.0681,-78.1522,67.24,76,15,11.45,few clouds
152,Ngorongoro,TZ,-3.2397,35.4875,56.41,66,100,2.91,overcast clouds
153,Grindavik,IS,63.8424,-22.4338,46.87,100,90,12.66,light intensity drizzle
154,Narsaq,GL,60.9167,-46.05,34.02,65,73,2.91,broken clouds
155,Cerignola,IT,41.264,15.9005,65.82,89,100,6.04,overcast clouds
156,Muisne,EC,0.6,-80.0333,78.91,82,92,9.78,overcast clouds
157,Goderich,CA,43.7501,-81.7165,46.9,82,100,7.67,light rain
158,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,9.22,broken clouds
159,Xai-Xai,MZ,-25.0519,33.6442,78.94,64,0,13.15,clear sky
160,Ostrovnoy,RU,68.0531,39.5131,28.67,89,100,18.97,light snow
161,Ankola,IN,14.6667,74.3,76.03,91,100,4.34,overcast clouds
162,Arrifes,PT,37.7667,-25.7,64.65,77,20,4.61,few clouds
163,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,6.91,broken clouds
164,Amlagora,IN,22.8333,87.3333,71.4,74,2,5.1,clear sky
165,Faya,SA,18.3851,42.4509,57.72,27,2,4.56,clear sky
166,Severodvinsk,RU,64.5635,39.8302,28.51,83,100,5.03,overcast clouds
167,Ambilobe,MG,-13.2,49.05,74.52,88,6,3.49,clear sky
168,Rawson,AR,-43.3002,-65.1023,62.01,26,62,10.49,broken clouds
169,Vysha,RU,53.8477,42.3777,39.76,76,9,7.63,clear sky
170,Bambous Virieux,MU,-20.3428,57.7575,74.21,75,74,11.5,broken clouds
171,Naron,ES,43.5167,-8.1528,56.66,89,17,6.06,few clouds
172,Dingle,PH,10.9995,122.6711,75.13,94,100,4.16,overcast clouds
173,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,81,75,3.0,broken clouds
174,Tall Kayf,TR,37.0833,41.0667,64.85,19,0,5.82,clear sky
175,Khorixas,NA,-20.3667,14.9667,59.7,44,0,4.76,clear sky
176,Gamba,GA,-2.65,10.0,75.99,88,98,4.18,overcast clouds
177,Katima Mulilo,NA,-17.5,24.2667,79.9,43,82,5.1,broken clouds
178,Nicoya,CR,10.1483,-85.452,72.95,88,95,2.44,overcast clouds
179,Jalu,LY,29.0331,21.5482,71.94,36,5,10.6,clear sky
180,Saint George,US,37.1041,-113.5841,76.62,23,1,3.0,clear sky
181,Taoudenni,ML,22.6783,-3.9836,85.48,18,0,6.82,clear sky
182,Vardo,NO,70.3705,31.1107,35.01,67,91,22.3,light rain
183,Bajil,YE,15.0584,43.2851,84.43,67,17,4.23,few clouds
184,Hamilton,US,39.1834,-84.5333,59.74,75,90,0.0,overcast clouds
185,Synya,RU,65.3718,58.0387,23.85,94,63,7.29,broken clouds
186,Starokostyantyniv,UA,49.7576,27.2034,40.89,72,47,11.79,scattered clouds
187,Pucallpa,PE,-8.3791,-74.5539,93.24,49,20,6.91,few clouds
188,Aksu,CN,41.1231,80.2644,47.03,44,7,5.68,clear sky
