City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kardla,EE,2021-10-22 03:44:41,58.9978,22.7492,47.05,65,75,13.8
1,Valparaiso,CL,2021-10-22 03:40:24,-33.0393,-71.6273,55.04,82,40,4.61
2,Brae,GB,2021-10-22 03:44:41,60.3964,-1.353,39.11,60,99,27.63
3,Jamestown,US,2021-10-22 03:39:42,42.097,-79.2353,56.52,89,90,11.01
4,Ponta Do Sol,PT,2021-10-22 03:41:24,32.6667,-17.1,69.71,63,40,4.38
5,Vardo,NO,2021-10-22 03:42:28,70.3705,31.1107,30.4,59,100,25.61
6,Hermanus,ZA,2021-10-22 03:44:42,-34.4187,19.2345,58.89,71,100,17.65
7,Saint-Philippe,RE,2021-10-22 03:43:27,-21.3585,55.7679,81.48,72,3,5.79
8,Ushuaia,AR,2021-10-22 03:40:06,-54.8,-68.3,38.86,81,40,0.0
9,Haradok,BY,2021-10-22 03:44:42,55.4624,29.9816,47.68,77,81,20.2
10,Dikson,RU,2021-10-22 03:44:43,73.5069,80.5464,21.27,76,73,9.44
11,Sao Filipe,CV,2021-10-22 03:44:43,14.8961,-24.4956,80.06,70,0,2.17
12,Narsaq,GL,2021-10-22 03:41:10,60.9167,-46.05,28.62,53,100,6.87
13,Skibbereen,IE,2021-10-22 03:44:43,51.55,-9.2667,48.0,76,3,9.13
14,Port Elizabeth,ZA,2021-10-22 03:44:44,-33.918,25.5701,64.09,94,0,6.91
15,Ratnagiri,IN,2021-10-22 03:44:44,16.9833,73.3,80.94,54,100,4.27
16,Felanitx,ES,2021-10-22 03:44:45,39.4696,3.1483,64.96,71,24,12.46
17,Upernavik,GL,2021-10-22 03:44:45,72.7868,-56.1549,20.52,92,100,9.4
18,Afyonkarahisar,TR,2021-10-22 03:44:45,38.75,30.6667,46.78,55,0,0.76
19,Pangody,RU,2021-10-22 03:44:46,65.85,74.4859,27.68,84,39,6.13
20,Qaanaaq,GL,2021-10-22 03:41:24,77.484,-69.3632,-1.34,75,0,8.23
21,Bud,US,2021-10-22 03:44:46,39.447,-86.1758,52.21,83,100,8.59
22,Vieux-Habitants,GP,2021-10-22 03:44:47,16.0589,-61.7659,83.71,68,24,14.05
23,Ilulissat,GL,2021-10-22 03:44:47,69.2167,-51.1,28.42,74,75,6.91
24,Kaka,TM,2021-10-22 03:44:48,37.3482,59.6143,48.43,39,6,7.52
25,Busselton,AU,2021-10-22 03:44:48,-33.65,115.3333,66.04,51,9,9.48
26,Ribeira Grande,PT,2021-10-22 03:40:20,38.5167,-28.7,68.63,72,42,12.82
27,Cape Town,ZA,2021-10-22 03:44:49,-33.9258,18.4232,59.88,82,75,7.0
28,Alberton,CA,2021-10-22 03:44:49,46.8168,-64.0654,53.73,85,100,9.62
29,Olafsvik,IS,2021-10-22 03:44:50,64.8945,-23.7142,41.0,73,100,16.42
30,Mar Del Plata,AR,2021-10-22 03:44:50,-38.0023,-57.5575,62.1,96,90,1.99
31,Laguna,US,2021-10-22 03:44:50,38.421,-121.4238,69.44,86,90,1.99
32,Lipari,IT,2021-10-22 03:44:51,38.4674,14.954,67.98,67,46,6.98
33,Atar,MR,2021-10-22 03:43:29,20.5169,-13.0499,73.27,17,43,6.8
34,Kangaatsiaq,GL,2021-10-22 03:44:51,68.3065,-53.4641,28.4,73,98,9.48
35,Surajgarh,IN,2021-10-22 03:44:51,28.3124,75.7347,82.26,35,0,15.05
36,Georgetown,MY,2021-10-22 03:44:52,5.4112,100.3354,86.9,70,40,3.0
37,Pokaran,IN,2021-10-22 03:44:52,26.9167,71.9167,78.93,49,0,18.43
38,Aljezur,PT,2021-10-22 03:44:52,37.3191,-8.8033,59.74,74,0,15.52
39,Bredasdorp,ZA,2021-10-22 03:44:11,-34.5322,20.0403,58.32,82,100,4.61
40,Yining,CN,2021-10-22 03:44:53,29.0361,114.5636,58.57,77,100,2.24
41,Marsabit,KE,2021-10-22 03:44:53,2.3284,37.9899,64.87,71,100,14.47
42,Yavas,RU,2021-10-22 03:44:53,54.4159,42.8491,50.13,74,100,14.29
43,Sandviken,SE,2021-10-22 03:44:54,60.6167,16.7667,39.69,83,71,13.6
44,Jacareacanga,BR,2021-10-22 03:44:54,-6.2222,-57.7528,73.51,98,92,1.68
